year,month,lettuce_type,price_per_cwt,price_per_lb
2019,1,iceberg,33.8,0.338
2019,2,iceberg,37.6,0.376
2019,3,iceberg,52.4,0.524
2019,4,iceberg,28.1,0.281
2019,5,iceberg,19.7,0.197
2019,6,iceberg,41.0,0.41
2019,7,iceberg,41.5,0.415
2019,8,iceberg,22.7,0.227
2019,9,iceberg,22.9,0.229
2019,10,iceberg,39.2,0.392
2019,11,iceberg,65.3,0.653
2019,12,iceberg,49.0,0.49
2020,1,iceberg,80.5,0.805
2020,2,iceberg,20.6,0.206
2020,3,iceberg,27.4,0.274
2020,4,iceberg,22.3,0.223
2020,5,iceberg,20.8,0.208
2020,6,iceberg,24.5,0.245
2020,7,iceberg,25.0,0.25
2020,8,iceberg,18.6,0.186
2020,9,iceberg,38.6,0.386
2020,10,iceberg,48.6,0.486
2020,11,iceberg,58.3,0.583
2020,12,iceberg,21.2,0.212
2021,1,iceberg,21.8,0.218
2021,2,iceberg,15.8,0.158
2021,3,iceberg,21.4,0.214
2021,4,iceberg,16.1,0.161
2021,5,iceberg,14.7,0.147
2021,6,iceberg,17.6,0.176
2021,7,iceberg,19.9,0.199
2021,8,iceberg,19.3,0.193
2021,9,iceberg,31.9,0.319
2021,10,iceberg,74.9,0.749
2021,11,iceberg,63.0,0.63
2021,12,iceberg,22.5,0.225
2022,1,iceberg,21.1,0.211
2022,2,iceberg,22.1,0.221
2022,3,iceberg,68.7,0.687
2022,4,iceberg,28.7,0.287
2022,5,iceberg,22.1,0.221
2022,6,iceberg,23.3,0.233
2022,7,iceberg,24.8,0.248
2022,8,iceberg,37.9,0.379
